US	88	90	3.71 million	3	15	Doc1	AGL	-292690.0	At 3.71 million square miles (9.62 million km2) and with around 318 million people, the US is the world's 3rd or 4th-largest country by total area and third-largest by population. 0.9089395654772405
US	88	90	9.62 million	30	42	Doc1	AGL	-137454.0	At 3.71 million square miles (9.62 million km2) and with around 318 million people, the US is the world's 3rd or 4th-largest country by total area and third-largest by population. 0.9099108900767882
US	262	264	3.5 million	295	306	Doc1	AGL	61068.0	The US has a total area of more than 3.5 million square miles, making it the third largest country in the world after Russia and Canada. 1.0
Russia	376	382	3.5 million	295	306	Doc1	AGL	-645465.0	The US has a total area of more than 3.5 million square miles, making it the third largest country in the world after Russia and Canada. 0.7552856242697031
Canada	387	393	3.5 million	295	306	Doc1	AGL	-461444.0	The US has a total area of more than 3.5 million square miles, making it the third largest country in the world after Russia and Canada. 0.8105726040376126
China	537	542	9.6 million	495	506	Doc1	AGL	0.0	With an area of about 9.6 million km², the People's Republic of China is the 3rd largest country in total area behind Russia and Canada, and very similar to the US. 0.8008877000245122
Russia	591	597	9.6 million	495	506	Doc1	AGL	-899556.0	With an area of about 9.6 million km², the People's Republic of China is the 3rd largest country in total area behind Russia and Canada, and very similar to the US. 0.7424029346196634
Canada	602	608	9.6 million	495	506	Doc1	AGL	-411901.0	With an area of about 9.6 million km², the People's Republic of China is the 3rd largest country in total area behind Russia and Canada, and very similar to the US. 0.7453587226183138
US	634	636	9.6 million	495	506	Doc1	AGL	-563791.0	With an area of about 9.6 million km², the People's Republic of China is the 3rd largest country in total area behind Russia and Canada, and very similar to the US. 0.7420624243663141
China	660	665	9327489.90	687	697	Doc1	POP	0.0	Land area (sq. km) in China was last measured at 9327489.90 in 2011, according to the World Bank. NaN
China	660	665	2011	701	705	Doc1	POP	0.0	Land area (sq. km) in China was last measured at 9327489.90 in 2011, according to the World Bank. NaN
World Bank	724	734	9327489.90	687	697	Doc1	POP	0.0	Land area (sq. km) in China was last measured at 9327489.90 in 2011, according to the World Bank. NaN
World Bank	724	734	2011	701	705	Doc1	POP	0.0	Land area (sq. km) in China was last measured at 9327489.90 in 2011, according to the World Bank. NaN
China	753	758	36926	762	767	Doc1	AGL	0.0	The land area of China is 36926 square miles, and that of India is 11823 square miles. NaN
China	753	758	11823	803	808	Doc1	AGL	0.0	The land area of China is 36926 square miles, and that of India is 11823 square miles. NaN
India	794	799	36926	762	767	Doc1	AGL	0.0	The land area of China is 36926 square miles, and that of India is 11823 square miles. NaN
India	794	799	11823	803	808	Doc1	AGL	0.0	The land area of China is 36926 square miles, and that of India is 11823 square miles. NaN
Pakistan	823	831	796,095	850	857	Doc1	AGL	770.0	Pakistan covers an area of 796,095 km2 (307,374 sq mi), approximately equal to the combined land areas of France and the United Kingdom. 1.0
Pakistan	823	831	307,374	863	870	Doc1	AGL	0.0	Pakistan covers an area of 796,095 km2 (307,374 sq mi), approximately equal to the combined land areas of France and the United Kingdom. NaN
United Kingdom	944	958	796,095	850	857	Doc1	AGL	-501680.0	Pakistan covers an area of 796,095 km2 (307,374 sq mi), approximately equal to the combined land areas of France and the United Kingdom. 0.8287337329819339
United Kingdom	944	958	307,374	863	870	Doc1	AGL	-632814.0	Pakistan covers an area of 796,095 km2 (307,374 sq mi), approximately equal to the combined land areas of France and the United Kingdom. 0.7523850218164786
Pakistan	996	1004	2011	1023	1027	Doc1	POP	0.0	The value for Land area (sq. km) in Pakistan was 770,880 as of 2011. NaN
Tunisia	1029	1036	163,610	1057	1064	Doc1	AGL	0.0	Tunisia occupies an area of 163,610 square kilometres, of which 8,250 are water. NaN
Tunisia	1029	1036	8,250	1093	1098	Doc1	POP	0.0	Tunisia occupies an area of 163,610 square kilometres, of which 8,250 are water. NaN
Vatican City	1110	1122	44	1280	1282	Doc1	AGL	-597138.0	Vatican City officially Vatican City State (Italian: Stato della Città del Vaticano; pronounced), a walled enclave within the city of Rome, with an area of approximately 44 hectares (110 acres), and a population of 842, is the smallest internationally recognized independent state in the world by both area and population. 0.9214584879083889
Vatican City	1110	1122	110	1293	1296	Doc1	AGL	-707632.0	Vatican City officially Vatican City State (Italian: Stato della Città del Vaticano; pronounced), a walled enclave within the city of Rome, with an area of approximately 44 hectares (110 acres), and a population of 842, is the smallest internationally recognized independent state in the world by both area and population. 0.9074921559484128
Vatican City	1134	1146	44	1280	1282	Doc1	AGL	-238976.0	Vatican City officially Vatican City State (Italian: Stato della Città del Vaticano; pronounced), a walled enclave within the city of Rome, with an area of approximately 44 hectares (110 acres), and a population of 842, is the smallest internationally recognized independent state in the world by both area and population. 0.9666406139525197
Vatican City	1134	1146	110	1293	1296	Doc1	AGL	-367220.0	Vatican City officially Vatican City State (Italian: Stato della Città del Vaticano; pronounced), a walled enclave within the city of Rome, with an area of approximately 44 hectares (110 acres), and a population of 842, is the smallest internationally recognized independent state in the world by both area and population. 0.9470849532760512
Italian	1154	1161	44	1280	1282	Doc1	AGL	-302801.0	Vatican City officially Vatican City State (Italian: Stato della Città del Vaticano; pronounced), a walled enclave within the city of Rome, with an area of approximately 44 hectares (110 acres), and a population of 842, is the smallest internationally recognized independent state in the world by both area and population. 0.9328840182923693
Italian	1154	1161	110	1293	1296	Doc1	AGL	-302801.0	Vatican City officially Vatican City State (Italian: Stato della Città del Vaticano; pronounced), a walled enclave within the city of Rome, with an area of approximately 44 hectares (110 acres), and a population of 842, is the smallest internationally recognized independent state in the world by both area and population. 0.9328840182923693
Stato della Città del Vaticano	1163	1193	44	1280	1282	Doc1	AGL	-524848.0	Vatican City officially Vatican City State (Italian: Stato della Città del Vaticano; pronounced), a walled enclave within the city of Rome, with an area of approximately 44 hectares (110 acres), and a population of 842, is the smallest internationally recognized independent state in the world by both area and population. 0.9480350984470569
Stato della Città del Vaticano	1163	1193	110	1293	1296	Doc1	AGL	-531487.0	Vatican City officially Vatican City State (Italian: Stato della Città del Vaticano; pronounced), a walled enclave within the city of Rome, with an area of approximately 44 hectares (110 acres), and a population of 842, is the smallest internationally recognized independent state in the world by both area and population. 0.927161163328401
Rome	1244	1248	110	1293	1296	Doc1	AGL	0.0	Vatican City officially Vatican City State (Italian: Stato della Città del Vaticano; pronounced), a walled enclave within the city of Rome, with an area of approximately 44 hectares (110 acres), and a population of 842, is the smallest internationally recognized independent state in the world by both area and population. NaN
Spain	1623	1628	504,030	1610	1617	Doc1	AGL	0.0	With an area of 504,030 km², Spain is the second largest country in Western Europe(behind France) and with an average altitude of 650 m, the second highest country in Europe (behind Switzerland). NaN
Spain	1623	1628	650	1724	1727	Doc1	null	-1.0	With an area of 504,030 km², Spain is the second largest country in Western Europe(behind France) and with an average altitude of 650 m, the second highest country in Europe (behind Switzerland). 0.9999998559036907
Western Europe	1662	1676	504,030	1610	1617	Doc1	AGL	-73105.0	With an area of 504,030 km², Spain is the second largest country in Western Europe(behind France) and with an average altitude of 650 m, the second highest country in Europe (behind Switzerland). 0.7826587204954445
Western Europe	1662	1676	650	1724	1727	Doc1	null	-1.0	With an area of 504,030 km², Spain is the second largest country in Western Europe(behind France) and with an average altitude of 650 m, the second highest country in Europe (behind Switzerland). 0.9999978388845187
France	1684	1690	504,030	1610	1617	Doc1	AGL	-283831.0	With an area of 504,030 km², Spain is the second largest country in Western Europe(behind France) and with an average altitude of 650 m, the second highest country in Europe (behind Switzerland). 0.784514534628933
Europe	1761	1767	504,030	1610	1617	Doc1	AGL	-519132.0	With an area of 504,030 km², Spain is the second largest country in Western Europe(behind France) and with an average altitude of 650 m, the second highest country in Europe (behind Switzerland). 0.9303066827086113
Switzerland	1776	1787	504,030	1610	1617	Doc1	AGL	-519132.0	With an area of 504,030 km², Spain is the second largest country in Western Europe(behind France) and with an average altitude of 650 m, the second highest country in Europe (behind Switzerland). 0.9128546209043795
Pilipinas	1957	1966	473 million	1852	1863	Doc1	FDI	0.0	Foreign direct investments (FDIs) in the Philippines reached $473 million in May as investors remained highly confident in the domestic economy, the Bangko Sentral ng Pilipinas said yesterday. NaN
China	2468	2473	46 %	2461	2464	Doc1	INF	0.0	The current Internet penetration is only 46% in China compared to 88% in the US. NaN
US	2497	2499	46 %	2461	2464	Doc1	INF	0.0	The current Internet penetration is only 46% in China compared to 88% in the US. NaN
US	2497	2499	88 %	2486	2489	Doc1	INF	0.0	The current Internet penetration is only 46% in China compared to 88% in the US. NaN
India	2637	2642	1876.80 billion	2653	2668	Doc1	FDI	0.0	The Gross Domestic Product (GDP) in India was worth 1876.80 billion US dollars in 2013. 0.9234111981232151
India	2637	2642	2013	2683	2687	Doc1	FDI	0.0	The Gross Domestic Product (GDP) in India was worth 1876.80 billion US dollars in 2013. NaN
US	2669	2671	1876.80 billion	2653	2668	Doc1	FDI	0.0	The Gross Domestic Product (GDP) in India was worth 1876.80 billion US dollars in 2013. 1.0
US	2669	2671	2013	2683	2687	Doc1	FDI	0.0	The Gross Domestic Product (GDP) in India was worth 1876.80 billion US dollars in 2013. NaN
India	2700	2705	2007	2718	2722	Doc1	LIFE	0.0	The GDP of India in the year 2007 was US $1.09 trillion. NaN
India	2700	2705	1.09 trillion	2731	2744	Doc1	FDI	0.0	The GDP of India in the year 2007 was US $1.09 trillion. NaN
US	2727	2729	2007	2718	2722	Doc1	LIFE	187321.0	The GDP of India in the year 2007 was US $1.09 trillion. 1.0
US	2727	2729	1.09 trillion	2731	2744	Doc1	FDI	0.0	The GDP of India in the year 2007 was US $1.09 trillion. 1.0
USA electricity generation in	2753	2782	2012	2783	2787	Doc1	POP	0.0	Actual USA electricity generation in 2012 of 4,047.7 Terawatt hours. NaN
United States	2828	2841	2013	2818	2822	Doc1	POP	0.0	In 2013, the United States generated about 4,058 billion kilowatthours of electricity. 1.0
USA	2992	2995	3992 billion kwh	2997	3013	Doc1	ELEC	0.0	As of Jan-2010, total electricity generation for the 2 largest generators was as follows: USA: 3992 billion kWh (3992 TWh) and China: 3715 billion kWh (3715 TWh). 1.0
USA	2992	2995	3992	3015	3019	Doc1	ELEC	0.0	As of Jan-2010, total electricity generation for the 2 largest generators was as follows: USA: 3992 billion kWh (3992 TWh) and China: 3715 billion kWh (3715 TWh). 1.0
USA	2992	2995	3715 billion kwh	3036	3052	Doc1	ELEC	0.0	As of Jan-2010, total electricity generation for the 2 largest generators was as follows: USA: 3992 billion kWh (3992 TWh) and China: 3715 billion kWh (3715 TWh). 0.9654797348380642
USA	2992	2995	3715	3054	3058	Doc1	ELEC	0.0	As of Jan-2010, total electricity generation for the 2 largest generators was as follows: USA: 3992 billion kWh (3992 TWh) and China: 3715 billion kWh (3715 TWh). 1.0
China	3029	3034	3992 billion kwh	2997	3013	Doc1	ELEC	0.0	As of Jan-2010, total electricity generation for the 2 largest generators was as follows: USA: 3992 billion kWh (3992 TWh) and China: 3715 billion kWh (3715 TWh). NaN
China	3029	3034	3992	3015	3019	Doc1	ELEC	0.0	As of Jan-2010, total electricity generation for the 2 largest generators was as follows: USA: 3992 billion kWh (3992 TWh) and China: 3715 billion kWh (3715 TWh). 0.8913749255992641
China	3029	3034	3715 billion kwh	3036	3052	Doc1	ELEC	0.0	As of Jan-2010, total electricity generation for the 2 largest generators was as follows: USA: 3992 billion kWh (3992 TWh) and China: 3715 billion kWh (3715 TWh). 1.0
China	3029	3034	3715	3054	3058	Doc1	ELEC	0.0	As of Jan-2010, total electricity generation for the 2 largest generators was as follows: USA: 3992 billion kWh (3992 TWh) and China: 3715 billion kWh (3715 TWh). 1.0
India	3091	3096	250.256	3126	3133	Doc1	POP	0.0	The electricity sector in India had an installed capacity of 250.256 GW as of end July 2014. NaN
